symbol,timestamp,price
AAPL,2024-01-02 09:00:00+00:00,190.2
AAPL,2024-01-02 09:01:00+00:00,190.0
AAPL,2024-01-02 09:02:00+00:00,189.82
AAPL,2024-01-02 09:03:00+00:00,189.87
AAPL,2024-01-02 09:04:00+00:00,189.9
AAPL,2024-01-02 09:05:00+00:00,189.94
AAPL,2024-01-02 09:06:00+00:00,189.95
AAPL,2024-01-02 09:07:00+00:00,189.99
AAPL,2024-01-02 09:08:00+00:00,189.96
AAPL,2024-01-02 09:09:00+00:00,189.98
AAPL,2024-01-02 09:10:00+00:00,189.97
AAPL,2024-01-02 09:11:00+00:00,189.92
AAPL,2024-01-02 09:13:00+00:00,189.9
AAPL,2024-01-02 09:14:00+00:00,189.97
AAPL,2024-01-02 09:17:00+00:00,189.97
AAPL,2024-01-02 09:19:00+00:00,190.0
AAPL,2024-01-02 09:21:00+00:00,190.03
AAPL,2024-01-02 09:22:00+00:00,190.05
AAPL,2024-01-02 09:23:00+00:00,190.1
AAPL,2024-01-02 09:24:00+00:00,190.1
AAPL,2024-01-02 09:25:00+00:00,190.09
AAPL,2024-01-02 09:26:00+00:00,190.1
AAPL,2024-01-02 09:27:00+00:00,190.1
AAPL,2024-01-02 09:29:00+00:00,190.05
AAPL,2024-01-02 09:30:00+00:00,190.05
AAPL,2024-01-02 09:33:00+00:00,190.09
AAPL,2024-01-02 09:35:00+00:00,190.07
AAPL,2024-01-02 09:36:00+00:00,190.08
AAPL,2024-01-02 09:37:00+00:00,190.0
AAPL,2024-01-02 09:38:00+00:00,189.99
AAPL,2024-01-02 09:39:00+00:00,189.95
AAPL,2024-01-02 09:40:00+00:00,189.88
AAPL,2024-01-02 09:44:00+00:00,189.89
AAPL,2024-01-02 09:46:00+00:00,189.91
AAPL,2024-01-02 09:47:00+00:00,189.9
AAPL,2024-01-02 09:55:00+00:00,189.89
AAPL,2024-01-02 09:58:00+00:00,189.95
AAPL,2024-01-02 10:01:00+00:00,190.0
AAPL,2024-01-02 10:03:00+00:00,190.0
AAPL,2024-01-02 10:05:00+00:00,190.06
AAPL,2024-01-02 10:06:00+00:00,190.08
AAPL,2024-01-02 10:08:00+00:00,190.1
AAPL,2024-01-02 10:09:00+00:00,190.1
AAPL,2024-01-02 10:11:00+00:00,190.1
AAPL,2024-01-02 10:13:00+00:00,190.12
AAPL,2024-01-02 10:17:00+00:00,190.15
AAPL,2024-01-02 10:18:00+00:00,190.15
AAPL,2024-01-02 10:19:00+00:00,190.2
AAPL,2024-01-02 10:20:00+00:00,190.2
AAPL,2024-01-02 10:21:00+00:00,190.24
AAPL,2024-01-02 10:27:00+00:00,190.05
AAPL,2024-01-02 10:28:00+00:00,190.05
AAPL,2024-01-02 10:30:00+00:00,190.01
AAPL,2024-01-02 10:36:00+00:00,190.1
AAPL,2024-01-02 10:43:00+00:00,190.15
AAPL,2024-01-02 10:45:00+00:00,190.12
AAPL,2024-01-02 10:46:00+00:00,190.12
AAPL,2024-01-02 10:47:00+00:00,190.1
AAPL,2024-01-02 10:54:00+00:00,190.09
AAPL,2024-01-02 10:57:00+00:00,190.01
AAPL,2024-01-02 10:58:00+00:00,190.02
AAPL,2024-01-02 10:59:00+00:00,189.76
AAPL,2024-01-02 11:00:00+00:00,189.52
AAPL,2024-01-02 11:01:00+00:00,189.51
AAPL,2024-01-02 11:02:00+00:00,189.39
AAPL,2024-01-02 11:03:00+00:00,189.44
AAPL,2024-01-02 11:04:00+00:00,189.54
AAPL,2024-01-02 11:05:00+00:00,189.55
AAPL,2024-01-02 11:06:00+00:00,189.55
AAPL,2024-01-02 11:07:00+00:00,189.63
AAPL,2024-01-02 11:08:00+00:00,189.55
AAPL,2024-01-02 11:09:00+00:00,189.68
AAPL,2024-01-02 11:10:00+00:00,189.55
AAPL,2024-01-02 11:11:00+00:00,189.55
AAPL,2024-01-02 11:12:00+00:00,189.55
AAPL,2024-01-02 11:13:00+00:00,189.44
AAPL,2024-01-02 11:14:00+00:00,189.6
AAPL,2024-01-02 11:15:00+00:00,189.38
AAPL,2024-01-02 11:16:00+00:00,189.38
AAPL,2024-01-02 11:17:00+00:00,189.32
AAPL,2024-01-02 11:19:00+00:00,189.15
AAPL,2024-01-02 11:21:00+00:00,189.21
AAPL,2024-01-02 11:22:00+00:00,189.2
AAPL,2024-01-02 11:24:00+00:00,189.2
AAPL,2024-01-02 11:25:00+00:00,189.1
AAPL,2024-01-02 11:27:00+00:00,189.0
AAPL,2024-01-02 11:28:00+00:00,189.0
AAPL,2024-01-02 11:29:00+00:00,188.95
AAPL,2024-01-02 11:30:00+00:00,188.83
AAPL,2024-01-02 11:31:00+00:00,188.83
AAPL,2024-01-02 11:32:00+00:00,188.8
AAPL,2024-01-02 11:33:00+00:00,188.9
AAPL,2024-01-02 11:34:00+00:00,188.88
AAPL,2024-01-02 11:36:00+00:00,188.8
AAPL,2024-01-02 11:38:00+00:00,188.87
AAPL,2024-01-02 11:39:00+00:00,189.08
AAPL,2024-01-02 11:40:00+00:00,189.08
AAPL,2024-01-02 11:42:00+00:00,189.03
AAPL,2024-01-02 11:43:00+00:00,189.07
AAPL,2024-01-02 11:44:00+00:00,189.09
AAPL,2024-01-02 11:45:00+00:00,189.22
AAPL,2024-01-02 11:46:00+00:00,189.0
AAPL,2024-01-02 11:52:00+00:00,189.06
AAPL,2024-01-02 11:53:00+00:00,189.02
AAPL,2024-01-02 11:56:00+00:00,188.94
AAPL,2024-01-02 12:00:00+00:00,189.33
AAPL,2024-01-02 12:01:00+00:00,189.34
AAPL,2024-01-02 12:02:00+00:00,189.29
AAPL,2024-01-02 12:03:00+00:00,189.18
AAPL,2024-01-02 12:04:00+00:00,189.15
AAPL,2024-01-02 12:05:00+00:00,189.12
